attack,cod,defense,form,hp,img,name,spatk,spdef,speed,total,type1,type2
134,149,95,,91,https://img.pokemondb.net/sprites/sword-shield/icon/dragonite.png,Dragonite,100,100,80,600,Dragon,Flying
110,150,90,,106,https://img.pokemondb.net/sprites/sword-shield/icon/mewtwo.png,Mewtwo,154,90,130,680,Psychic,
190,150,100,Mega Mewtwo X,106,https://img.pokemondb.net/sprites/sword-shield/icon/mewtwo-mega-x.png,Mewtwo,154,100,130,780,Psychic,Fighting
150,150,70,Mega Mewtwo Y,106,https://img.pokemondb.net/sprites/sword-shield/icon/mewtwo-mega-y.png,Mewtwo,194,120,140,780,Psychic,
100,151,100,,100,https://img.pokemondb.net/sprites/sword-shield/icon/mew.png,Mew,100,100,100,600,Psychic,
49,152,65,,45,https://img.pokemondb.net/sprites/sword-shield/icon/chikorita.png,Chikorita,49,65,45,318,Grass,
62,153,80,,60,https://img.pokemondb.net/sprites/sword-shield/icon/bayleef.png,Bayleef,63,80,60,405,Grass,
82,154,100,,80,https://img.pokemondb.net/sprites/sword-shield/icon/meganium.png,Meganium,83,100,80,525,Grass,
52,155,43,,39,https://img.pokemondb.net/sprites/sword-shield/icon/cyndaquil.png,Cyndaquil,60,50,65,309,Fire,
64,156,58,,58,https://img.pokemondb.net/sprites/sword-shield/icon/quilava.png,Quilava,80,65,80,405,Fire,
84,157,78,,78,https://img.pokemondb.net/sprites/sword-shield/icon/typhlosion.png,Typhlosion,109,85,100,534,Fire,
65,158,64,,50,https://img.pokemondb.net/sprites/sword-shield/icon/totodile.png,Totodile,44,48,43,314,Water,
80,159,80,,65,https://img.pokemondb.net/sprites/sword-shield/icon/croconaw.png,Croconaw,59,63,58,405,Water,
105,160,100,,85,https://img.pokemondb.net/sprites/sword-shield/icon/feraligatr.png,Feraligatr,79,83,78,530,Water,
46,161,34,,35,https://img.pokemondb.net/sprites/sword-shield/icon/sentret.png,Sentret,35,45,20,215,Normal,
76,162,64,,85,https://img.pokemondb.net/sprites/sword-shield/icon/furret.png,Furret,45,55,90,415,Normal,
30,163,30,,60,https://img.pokemondb.net/sprites/sword-shield/icon/hoothoot.png,Hoothoot,36,56,50,262,Normal,Flying
50,164,50,,100,https://img.pokemondb.net/sprites/sword-shield/icon/noctowl.png,Noctowl,86,96,70,452,Normal,Flying
20,165,30,,40,https://img.pokemondb.net/sprites/sword-shield/icon/ledyba.png,Ledyba,40,80,55,265,Bug,Flying
35,166,50,,55,https://img.pokemondb.net/sprites/sword-shield/icon/ledian.png,Ledian,55,110,85,390,Bug,Flying
60,167,40,,40,https://img.pokemondb.net/sprites/sword-shield/icon/spinarak.png,Spinarak,40,40,30,250,Bug,Poison
90,168,70,,70,https://img.pokemondb.net/sprites/sword-shield/icon/ariados.png,Ariados,60,70,40,400,Bug,Poison
90,169,80,,85,https://img.pokemondb.net/sprites/sword-shield/icon/crobat.png,Crobat,70,80,130,535,Poison,Flying
38,170,38,,75,https://img.pokemondb.net/sprites/sword-shield/icon/chinchou.png,Chinchou,56,56,67,330,Water,Electric
58,171,58,,125,https://img.pokemondb.net/sprites/sword-shield/icon/lanturn.png,Lanturn,76,76,67,460,Water,Electric
40,172,15,,20,https://img.pokemondb.net/sprites/sword-shield/icon/pichu.png,Pichu,35,35,60,205,Electric,
25,173,28,,50,https://img.pokemondb.net/sprites/sword-shield/icon/cleffa.png,Cleffa,45,55,15,218,Fairy,
30,174,15,,90,https://img.pokemondb.net/sprites/sword-shield/icon/igglybuff.png,Igglybuff,40,20,15,210,Normal,Fairy
20,175,65,,35,https://img.pokemondb.net/sprites/sword-shield/icon/togepi.png,Togepi,40,65,20,245,Fairy,
40,176,85,,55,https://img.pokemondb.net/sprites/sword-shield/icon/togetic.png,Togetic,80,105,40,405,Fairy,Flying
50,177,45,,40,https://img.pokemondb.net/sprites/sword-shield/icon/natu.png,Natu,70,45,70,320,Psychic,Flying
