cod,name,generation,status,species,form,type1,type2,height_m,weight_kg,total,hp,attack,defense,spatk,spdef,speed,img
019,Rattata,1,Normal,Mouse Pokémon,,Normal,,0.3,3.5,253,30,56,35,25,35,72,https://img.pokemondb.net/sprites/home/normal/rattata.png
019,Rattata,1,Normal,Mouse Pokémon,Alolan Rattata,Dark,Normal,0.3,3.8,253,30,56,35,25,35,72,https://img.pokemondb.net/sprites/home/normal/rattata-alolan.png
020,Raticate,1,Normal,Mouse Pokémon,,Normal,,0.7,18.5,413,55,81,60,50,70,97,https://img.pokemondb.net/sprites/home/normal/raticate.png
020,Raticate,1,Normal,Mouse Pokémon,Alolan Raticate,Dark,Normal,0.7,25.5,413,75,71,70,40,80,77,https://img.pokemondb.net/sprites/home/normal/raticate-alolan.png
021,Spearow,1,Normal,Tiny Bird Pokémon,,Normal,Flying,0.3,2.0,262,40,60,30,31,31,70,https://img.pokemondb.net/sprites/home/normal/spearow.png
022,Fearow,1,Normal,Beak Pokémon,,Normal,Flying,1.2,38.0,442,65,90,65,61,61,100,https://img.pokemondb.net/sprites/home/normal/fearow.png
023,Ekans,1,Normal,Snake Pokémon,,Poison,,2.0,6.9,288,35,60,44,40,54,55,https://img.pokemondb.net/sprites/home/normal/ekans.png
024,Arbok,1,Normal,Cobra Pokémon,,Poison,,3.5,65.0,448,60,95,69,65,79,80,https://img.pokemondb.net/sprites/home/normal/arbok.png
025,Pikachu,1,Normal,Mouse Pokémon,,Electric,,0.4,6.0,320,35,55,40,50,50,90,https://img.pokemondb.net/sprites/home/normal/pikachu.png
025,Pikachu,1,Normal,Mouse Pokémon,Partner Pikachu,Electric,,0.4,6.0,430,45,80,50,75,60,120,https://img.pokemondb.net/sprites/home/normal/pikachu-lets-go.png
026,Raichu,1,Normal,Mouse Pokémon,,Electric,,0.8,30.0,485,60,90,55,90,80,110,https://img.pokemondb.net/sprites/home/normal/raichu.png
026,Raichu,1,Normal,Mouse Pokémon,Alolan Raichu,Electric,Psychic,0.7,21.0,485,60,85,50,95,85,110,https://img.pokemondb.net/sprites/home/normal/raichu-alolan.png
027,Sandshrew,1,Normal,Mouse Pokémon,,Ground,,0.6,12.0,300,50,75,85,20,30,40,https://img.pokemondb.net/sprites/home/normal/sandshrew.png
027,Sandshrew,1,Normal,Mouse Pokémon,Alolan Sandshrew,Ice,Steel,0.7,40.0,300,50,75,90,10,35,40,https://img.pokemondb.net/sprites/home/normal/sandshrew-alolan.png
028,Sandslash,1,Normal,Mouse Pokémon,,Ground,,1.0,29.5,450,75,100,110,45,55,65,https://img.pokemondb.net/sprites/home/normal/sandslash.png
028,Sandslash,1,Normal,Mouse Pokémon,Alolan Sandslash,Ice,Steel,1.2,55.0,450,75,100,120,25,65,65,https://img.pokemondb.net/sprites/home/normal/sandslash-alolan.png
029,Nidoran♀,1,Normal,Poison Pin Pokémon,,Poison,,0.4,7.0,275,55,47,52,40,40,41,https://img.pokemondb.net/sprites/home/normal/nidoran-f.png
030,Nidorina,1,Normal,Poison Pin Pokémon,,Poison,,0.8,20.0,365,70,62,67,55,55,56,https://img.pokemondb.net/sprites/home/normal/nidorina.png
031,Nidoqueen,1,Normal,Drill Pokémon,,Poison,Ground,1.3,60.0,505,90,92,87,75,85,76,https://img.pokemondb.net/sprites/home/normal/nidoqueen.png
032,Nidoran♂,1,Normal,Poison Pin Pokémon,,Poison,,0.5,9.0,273,46,57,40,40,40,50,https://img.pokemondb.net/sprites/home/normal/nidoran-m.png
033,Nidorino,1,Normal,Poison Pin Pokémon,,Poison,,0.9,19.5,365,61,72,57,55,55,65,https://img.pokemondb.net/sprites/home/normal/nidorino.png
034,Nidoking,1,Normal,Drill Pokémon,,Poison,Ground,1.4,62.0,505,81,102,77,85,75,85,https://img.pokemondb.net/sprites/home/normal/nidoking.png
035,Clefairy,1,Normal,Fairy Pokémon,,Fairy,,0.6,7.5,323,70,45,48,60,65,35,https://img.pokemondb.net/sprites/home/normal/clefairy.png
036,Clefable,1,Normal,Fairy Pokémon,,Fairy,,1.3,40.0,483,95,70,73,95,90,60,https://img.pokemondb.net/sprites/home/normal/clefable.png
037,Vulpix,1,Normal,Fox Pokémon,,Fire,,0.6,9.9,299,38,41,40,50,65,65,https://img.pokemondb.net/sprites/home/normal/vulpix.png
037,Vulpix,1,Normal,Fox Pokémon,Alolan Vulpix,Ice,,0.6,9.9,299,38,41,40,50,65,65,https://img.pokemondb.net/sprites/home/normal/vulpix-alolan.png
038,Ninetales,1,Normal,Fox Pokémon,,Fire,,1.1,19.9,505,73,76,75,81,100,100,https://img.pokemondb.net/sprites/home/normal/ninetales.png
038,Ninetales,1,Normal,Fox Pokémon,Alolan Ninetales,Ice,Fairy,1.1,19.9,505,73,67,75,81,100,109,https://img.pokemondb.net/sprites/home/normal/ninetales-alolan.png
039,Jigglypuff,1,Normal,Balloon Pokémon,,Normal,Fairy,0.5,5.5,270,115,45,20,45,25,20,https://img.pokemondb.net/sprites/home/normal/jigglypuff.png
040,Wigglytuff,1,Normal,Balloon Pokémon,,Normal,Fairy,1.0,12.0,435,140,70,45,85,50,45,https://img.pokemondb.net/sprites/home/normal/wigglytuff.png
041,Zubat,1,Normal,Bat Pokémon,,Poison,Flying,0.8,7.5,245,40,45,35,30,40,55,https://img.pokemondb.net/sprites/home/normal/zubat.png
042,Golbat,1,Normal,Bat Pokémon,,Poison,Flying,1.6,55.0,455,75,80,70,65,75,90,https://img.pokemondb.net/sprites/home/normal/golbat.png
043,Oddish,1,Normal,Weed Pokémon,,Grass,Poison,0.5,5.4,320,45,50,55,75,65,30,https://img.pokemondb.net/sprites/home/normal/oddish.png
044,Gloom,1,Normal,Weed Pokémon,,Grass,Poison,0.8,8.6,395,60,65,70,85,75,40,https://img.pokemondb.net/sprites/home/normal/gloom.png
045,Vileplume,1,Normal,Flower Pokémon,,Grass,Poison,1.2,18.6,490,75,80,85,110,90,50,https://img.pokemondb.net/sprites/home/normal/vileplume.png
046,Paras,1,Normal,Mushroom Pokémon,,Bug,Grass,0.3,5.4,285,35,70,55,45,55,25,https://img.pokemondb.net/sprites/home/normal/paras.png
047,Parasect,1,Normal,Mushroom Pokémon,,Bug,Grass,1.0,29.5,405,60,95,80,60,80,30,https://img.pokemondb.net/sprites/home/normal/parasect.png
048,Venonat,1,Normal,Insect Pokémon,,Bug,Poison,1.0,30.0,305,60,55,50,40,55,45,https://img.pokemondb.net/sprites/home/normal/venonat.png
049,Venomoth,1,Normal,Poison Moth Pokémon,,Bug,Poison,1.5,12.5,450,70,65,60,90,75,90,https://img.pokemondb.net/sprites/home/normal/venomoth.png
050,Diglett,1,Normal,Mole Pokémon,,Ground,,0.2,0.8,265,10,55,25,35,45,95,https://img.pokemondb.net/sprites/home/normal/diglett.png
050,Diglett,1,Normal,Mole Pokémon,Alolan Diglett,Ground,Steel,0.2,1.0,265,10,55,30,35,45,90,https://img.pokemondb.net/sprites/home/normal/diglett-alolan.png
051,Dugtrio,1,Normal,Mole Pokémon,,Ground,,0.7,33.3,425,35,100,50,50,70,120,https://img.pokemondb.net/sprites/home/normal/dugtrio.png
051,Dugtrio,1,Normal,Mole Pokémon,Alolan Dugtrio,Ground,Steel,0.7,66.6,425,35,100,60,50,70,110,https://img.pokemondb.net/sprites/home/normal/dugtrio-alolan.png
052,Meowth,1,Normal,Scratch Cat Pokémon,,Normal,,0.4,4.2,290,40,45,35,40,40,90,https://img.pokemondb.net/sprites/home/normal/meowth.png
052,Meowth,1,Normal,Scratch Cat Pokémon,Alolan Meowth,Dark,,0.4,4.2,290,40,35,35,50,40,90,https://img.pokemondb.net/sprites/home/normal/meowth-alolan.png
052,Meowth,1,Normal,Scratch Cat Pokémon,Galarian Meowth,Steel,,0.4,7.5,290,50,65,55,40,40,40,https://img.pokemondb.net/sprites/home/normal/meowth-galarian.png
053,Persian,1,Normal,Classy Cat Pokémon,,Normal,,1.0,32.0,440,65,70,60,65,65,115,https://img.pokemondb.net/sprites/home/normal/persian.png
053,Persian,1,Normal,Classy Cat Pokémon,Alolan Persian,Dark,,1.1,33.0,440,65,60,60,75,65,115,https://img.pokemondb.net/sprites/home/normal/persian-alolan.png
054,Psyduck,1,Normal,Duck Pokémon,,Water,,0.8,19.6,320,50,52,48,65,50,55,https://img.pokemondb.net/sprites/home/normal/psyduck.png
055,Golduck,1,Normal,Duck Pokémon,,Water,,1.7,76.6,500,80,82,78,95,80,85,https://img.pokemondb.net/sprites/home/normal/golduck.png
056,Mankey,1,Normal,Pig Monkey Pokémon,,Fighting,,0.5,28.0,305,40,80,35,35,45,70,https://img.pokemondb.net/sprites/home/normal/mankey.png
057,Primeape,1,Normal,Pig Monkey Pokémon,,Fighting,,1.0,32.0,455,65,105,60,60,70,95,https://img.pokemondb.net/sprites/home/normal/primeape.png
058,Growlithe,1,Normal,Puppy Pokémon,,Fire,,0.7,19.0,350,55,70,45,70,50,60,https://img.pokemondb.net/sprites/home/normal/growlithe.png
059,Arcanine,1,Normal,Legendary Pokémon,,Fire,,1.9,155.0,555,90,110,80,100,80,95,https://img.pokemondb.net/sprites/home/normal/arcanine.png
060,Poliwag,1,Normal,Tadpole Pokémon,,Water,,0.6,12.4,300,40,50,40,40,40,90,https://img.pokemondb.net/sprites/home/normal/poliwag.png
061,Poliwhirl,1,Normal,Tadpole Pokémon,,Water,,1.0,20.0,385,65,65,65,50,50,90,https://img.pokemondb.net/sprites/home/normal/poliwhirl.png
062,Poliwrath,1,Normal,Tadpole Pokémon,,Water,Fighting,1.3,54.0,510,90,95,95,70,90,70,https://img.pokemondb.net/sprites/home/normal/poliwrath.png
063,Abra,1,Normal,Psi Pokémon,,Psychic,,0.9,19.5,310,25,20,15,105,55,90,https://img.pokemondb.net/sprites/home/normal/abra.png
064,Kadabra,1,Normal,Psi Pokémon,,Psychic,,1.3,56.5,400,40,35,30,120,70,105,https://img.pokemondb.net/sprites/home/normal/kadabra.png
065,Alakazam,1,Normal,Psi Pokémon,,Psychic,,1.5,48.0,500,55,50,45,135,95,120,https://img.pokemondb.net/sprites/home/normal/alakazam.png
065,Alakazam,1,Normal,Psi Pokémon,Mega Alakazam,Psychic,,1.2,48.0,600,55,50,65,175,105,150,https://img.pokemondb.net/sprites/home/normal/alakazam-mega.png
066,Machop,1,Normal,Superpower Pokémon,,Fighting,,0.8,19.5,305,70,80,50,35,35,35,https://img.pokemondb.net/sprites/home/normal/machop.png
067,Machoke,1,Normal,Superpower Pokémon,,Fighting,,1.5,70.5,405,80,100,70,50,60,45,https://img.pokemondb.net/sprites/home/normal/machoke.png
068,Machamp,1,Normal,Superpower Pokémon,,Fighting,,1.6,130.0,505,90,130,80,65,85,55,https://img.pokemondb.net/sprites/home/normal/machamp.png
069,Bellsprout,1,Normal,Flower Pokémon,,Grass,Poison,0.7,4.0,300,50,75,35,70,30,40,https://img.pokemondb.net/sprites/home/normal/bellsprout.png
070,Weepinbell,1,Normal,Flycatcher Pokémon,,Grass,Poison,1.0,6.4,390,65,90,50,85,45,55,https://img.pokemondb.net/sprites/home/normal/weepinbell.png
071,Victreebel,1,Normal,Flycatcher Pokémon,,Grass,Poison,1.7,15.5,490,80,105,65,100,70,70,https://img.pokemondb.net/sprites/home/normal/victreebel.png
072,Tentacool,1,Normal,Jellyfish Pokémon,,Water,Poison,0.9,45.5,335,40,40,35,50,100,70,https://img.pokemondb.net/sprites/home/normal/tentacool.png
073,Tentacruel,1,Normal,Jellyfish Pokémon,,Water,Poison,1.6,55.0,515,80,70,65,80,120,100,https://img.pokemondb.net/sprites/home/normal/tentacruel.png
074,Geodude,1,Normal,Rock Pokémon,,Rock,Ground,0.4,20.0,300,40,80,100,30,30,20,https://img.pokemondb.net/sprites/home/normal/geodude.png
074,Geodude,1,Normal,Rock Pokémon,Alolan Geodude,Rock,Electric,0.4,20.3,300,40,80,100,30,30,20,https://img.pokemondb.net/sprites/home/normal/geodude-alolan.png
075,Graveler,1,Normal,Rock Pokémon,,Rock,Ground,1.0,105.0,390,55,95,115,45,45,35,https://img.pokemondb.net/sprites/home/normal/graveler.png
075,Graveler,1,Normal,Rock Pokémon,Alolan Graveler,Rock,Electric,1.0,110.0,390,55,95,115,45,45,35,https://img.pokemondb.net/sprites/home/normal/graveler-alolan.png
076,Golem,1,Normal,Megaton Pokémon,,Rock,Ground,1.4,300.0,495,80,120,130,55,65,45,https://img.pokemondb.net/sprites/home/normal/golem.png
076,Golem,1,Normal,Megaton Pokémon,Alolan Golem,Rock,Electric,1.7,316.0,495,80,120,130,55,65,45,https://img.pokemondb.net/sprites/home/normal/golem-alolan.png
077,Ponyta,1,Normal,Fire Horse Pokémon,,Fire,,1.0,30.0,410,50,85,55,65,65,90,https://img.pokemondb.net/sprites/home/normal/ponyta.png
077,Ponyta,1,Normal,Unique Horn Pokémon,Galarian Ponyta,Psychic,,0.8,24.0,410,50,85,55,65,65,90,https://img.pokemondb.net/sprites/home/normal/ponyta-galarian.png
078,Rapidash,1,Normal,Fire Horse Pokémon,,Fire,,1.7,95.0,500,65,100,70,80,80,105,https://img.pokemondb.net/sprites/home/normal/rapidash.png
078,Rapidash,1,Normal,Unique Horn Pokémon,Galarian Rapidash,Psychic,Fairy,1.7,80.0,500,65,100,70,80,80,105,https://img.pokemondb.net/sprites/home/normal/rapidash-galarian.png
079,Slowpoke,1,Normal,Dopey Pokémon,,Water,Psychic,1.2,36.0,315,90,65,65,40,40,15,https://img.pokemondb.net/sprites/home/normal/slowpoke.png
080,Slowbro,1,Normal,Hermit Crab Pokémon,,Water,Psychic,1.6,78.5,490,95,75,110,100,80,30,https://img.pokemondb.net/sprites/home/normal/slowbro.png
080,Slowbro,1,Normal,Hermit Crab Pokémon,Mega Slowbro,Water,Psychic,2.0,120.0,590,95,75,180,130,80,30,https://img.pokemondb.net/sprites/home/normal/slowbro-mega.png
081,Magnemite,1,Normal,Magnet Pokémon,,Electric,Steel,0.3,6.0,325,25,35,70,95,55,45,https://img.pokemondb.net/sprites/home/normal/magnemite.png
082,Magneton,1,Normal,Magnet Pokémon,,Electric,Steel,1.0,60.0,465,50,60,95,120,70,70,https://img.pokemondb.net/sprites/home/normal/magneton.png
083,Farfetch'd,1,Normal,Wild Duck Pokémon,,Normal,Flying,0.8,15.0,377,52,90,55,58,62,60,https://img.pokemondb.net/sprites/home/normal/farfetchd.png
083,Farfetch'd,1,Normal,Wild Duck Pokémon,Galarian Farfetch'd,Fighting,,0.8,42.0,377,52,95,55,58,62,55,https://img.pokemondb.net/sprites/home/normal/farfetchd-galarian.png
084,Doduo,1,Normal,Twin Bird Pokémon,,Normal,Flying,1.4,39.2,310,35,85,45,35,35,75,https://img.pokemondb.net/sprites/home/normal/doduo.png
085,Dodrio,1,Normal,Triple Bird Pokémon,,Normal,Flying,1.8,85.2,470,60,110,70,60,60,110,https://img.pokemondb.net/sprites/home/normal/dodrio.png
086,Seel,1,Normal,Sea Lion Pokémon,,Water,,1.1,90.0,325,65,45,55,45,70,45,https://img.pokemondb.net/sprites/home/normal/seel.png
087,Dewgong,1,Normal,Sea Lion Pokémon,,Water,Ice,1.7,120.0,475,90,70,80,70,95,70,https://img.pokemondb.net/sprites/home/normal/dewgong.png
088,Grimer,1,Normal,Sludge Pokémon,,Poison,,0.9,30.0,325,80,80,50,40,50,25,https://img.pokemondb.net/sprites/home/normal/grimer.png
088,Grimer,1,Normal,Sludge Pokémon,Alolan Grimer,Poison,Dark,0.7,42.0,325,80,80,50,40,50,25,https://img.pokemondb.net/sprites/home/normal/grimer-alolan.png
089,Muk,1,Normal,Sludge Pokémon,,Poison,,1.2,30.0,500,105,105,75,65,100,50,https://img.pokemondb.net/sprites/home/normal/muk.png
089,Muk,1,Normal,Sludge Pokémon,Alolan Muk,Poison,Dark,1.0,52.0,500,105,105,75,65,100,50,https://img.pokemondb.net/sprites/home/normal/muk-alolan.png
090,Shellder,1,Normal,Bivalve Pokémon,,Water,,0.3,4.0,305,30,65,100,45,25,40,https://img.pokemondb.net/sprites/home/normal/shellder.png
091,Cloyster,1,Normal,Bivalve Pokémon,,Water,Ice,1.5,132.5,525,50,95,180,85,45,70,https://img.pokemondb.net/sprites/home/normal/cloyster.png
092,Gastly,1,Normal,Gas Pokémon,,Ghost,Poison,1.3,0.1,310,30,35,30,100,35,80,https://img.pokemondb.net/sprites/home/normal/gastly.png
093,Haunter,1,Normal,Gas Pokémon,,Ghost,Poison,1.6,0.1,405,45,50,45,115,55,95,https://img.pokemondb.net/sprites/home/normal/haunter.png
094,Gengar,1,Normal,Shadow Pokémon,,Ghost,Poison,1.5,40.5,500,60,65,60,130,75,110,https://img.pokemondb.net/sprites/home/normal/gengar.png
094,Gengar,1,Normal,Shadow Pokémon,Mega Gengar,Ghost,Poison,1.4,40.5,600,60,65,80,170,95,130,https://img.pokemondb.net/sprites/home/normal/gengar-mega.png
095,Onix,1,Normal,Rock Snake Pokémon,,Rock,Ground,8.8,210.0,385,35,45,160,30,45,70,https://img.pokemondb.net/sprites/home/normal/onix.png
096,Drowzee,1,Normal,Hypnosis Pokémon,,Psychic,,1.0,32.4,328,60,48,45,43,90,42,https://img.pokemondb.net/sprites/home/normal/drowzee.png
097,Hypno,1,Normal,Hypnosis Pokémon,,Psychic,,1.6,75.6,483,85,73,70,73,115,67,https://img.pokemondb.net/sprites/home/normal/hypno.png
098,Krabby,1,Normal,River Crab Pokémon,,Water,,0.4,6.5,325,30,105,90,25,25,50,https://img.pokemondb.net/sprites/home/normal/krabby.png
099,Kingler,1,Normal,Pincer Pokémon,,Water,,1.3,60.0,475,55,130,115,50,50,75,https://img.pokemondb.net/sprites/home/normal/kingler.png
100,Voltorb,1,Normal,Ball Pokémon,,Electric,,0.5,10.4,330,40,30,50,55,55,100,https://img.pokemondb.net/sprites/home/normal/voltorb.png
101,Electrode,1,Normal,Ball Pokémon,,Electric,,1.2,66.6,490,60,50,70,80,80,150,https://img.pokemondb.net/sprites/home/normal/electrode.png
102,Exeggcute,1,Normal,Egg Pokémon,,Grass,Psychic,0.4,2.5,325,60,40,80,60,45,40,https://img.pokemondb.net/sprites/home/normal/exeggcute.png
103,Exeggutor,1,Normal,Coconut Pokémon,,Grass,Psychic,2.0,120.0,530,95,95,85,125,75,55,https://img.pokemondb.net/sprites/home/normal/exeggutor.png
103,Exeggutor,1,Normal,Coconut Pokémon,Alolan Exeggutor,Grass,Dragon,10.9,415.6,530,95,105,85,125,75,45,https://img.pokemondb.net/sprites/home/normal/exeggutor-alolan.png
104,Cubone,1,Normal,Lonely Pokémon,,Ground,,0.4,6.5,320,50,50,95,40,50,35,https://img.pokemondb.net/sprites/home/normal/cubone.png
105,Marowak,1,Normal,Bone Keeper Pokémon,,Ground,,1.0,45.0,425,60,80,110,50,80,45,https://img.pokemondb.net/sprites/home/normal/marowak.png
105,Marowak,1,Normal,Bone Keeper Pokémon,Alolan Marowak,Fire,Ghost,1.0,34.0,425,60,80,110,50,80,45,https://img.pokemondb.net/sprites/home/normal/marowak-alolan.png
106,Hitmonlee,1,Normal,Kicking Pokémon,,Fighting,,1.5,49.8,455,50,120,53,35,110,87,https://img.pokemondb.net/sprites/home/normal/hitmonlee.png
107,Hitmonchan,1,Normal,Punching Pokémon,,Fighting,,1.4,50.2,455,50,105,79,35,110,76,https://img.pokemondb.net/sprites/home/normal/hitmonchan.png
108,Lickitung,1,Normal,Licking Pokémon,,Normal,,1.2,65.5,385,90,55,75,60,75,30,https://img.pokemondb.net/sprites/home/normal/lickitung.png
109,Koffing,1,Normal,Poison Gas Pokémon,,Poison,,0.6,1.0,340,40,65,95,60,45,35,https://img.pokemondb.net/sprites/home/normal/koffing.png
110,Weezing,1,Normal,Poison Gas Pokémon,,Poison,,1.2,9.5,490,65,90,120,85,70,60,https://img.pokemondb.net/sprites/home/normal/weezing.png
110,Weezing,1,Normal,Poison Gas Pokémon,Galarian Weezing,Poison,Fairy,3.0,16.0,490,65,90,120,85,70,60,https://img.pokemondb.net/sprites/home/normal/weezing-galarian.png
111,Rhyhorn,1,Normal,Spikes Pokémon,,Ground,Rock,1.0,115.0,345,80,85,95,30,30,25,https://img.pokemondb.net/sprites/home/normal/rhyhorn.png
112,Rhydon,1,Normal,Drill Pokémon,,Ground,Rock,1.9,120.0,485,105,130,120,45,45,40,https://img.pokemondb.net/sprites/home/normal/rhydon.png
113,Chansey,1,Normal,Egg Pokémon,,Normal,,1.1,34.6,450,250,5,5,35,105,50,https://img.pokemondb.net/sprites/home/normal/chansey.png
114,Tangela,1,Normal,Vine Pokémon,,Grass,,1.0,35.0,435,65,55,115,100,40,60,https://img.pokemondb.net/sprites/home/normal/tangela.png
115,Kangaskhan,1,Normal,Parent Pokémon,,Normal,,2.2,80.0,490,105,95,80,40,80,90,https://img.pokemondb.net/sprites/home/normal/kangaskhan.png
115,Kangaskhan,1,Normal,Parent Pokémon,Mega Kangaskhan,Normal,,2.2,100.0,590,105,125,100,60,100,100,https://img.pokemondb.net/sprites/home/normal/kangaskhan-mega.png
116,Horsea,1,Normal,Dragon Pokémon,,Water,,0.4,8.0,295,30,40,70,70,25,60,https://img.pokemondb.net/sprites/home/normal/horsea.png
117,Seadra,1,Normal,Dragon Pokémon,,Water,,1.2,25.0,440,55,65,95,95,45,85,https://img.pokemondb.net/sprites/home/normal/seadra.png
118,Goldeen,1,Normal,Goldfish Pokémon,,Water,,0.6,15.0,320,45,67,60,35,50,63,https://img.pokemondb.net/sprites/home/normal/goldeen.png
119,Seaking,1,Normal,Goldfish Pokémon,,Water,,1.3,39.0,450,80,92,65,65,80,68,https://img.pokemondb.net/sprites/home/normal/seaking.png
120,Staryu,1,Normal,Star Shape Pokémon,,Water,,0.8,34.5,340,30,45,55,70,55,85,https://img.pokemondb.net/sprites/home/normal/staryu.png
121,Starmie,1,Normal,Mysterious Pokémon,,Water,Psychic,1.1,80.0,520,60,75,85,100,85,115,https://img.pokemondb.net/sprites/home/normal/starmie.png
122,Mr. Mime,1,Normal,Barrier Pokémon,,Psychic,Fairy,1.3,54.5,460,40,45,65,100,120,90,https://img.pokemondb.net/sprites/home/normal/mr-mime.png
122,Mr. Mime,1,Normal,Dancing Pokémon,Galarian Mr. Mime,Psychic,Ice,1.4,56.8,460,50,65,65,90,90,100,https://img.pokemondb.net/sprites/home/normal/mr-mime-galarian.png
123,Scyther,1,Normal,Mantis Pokémon,,Bug,Flying,1.5,56.0,500,70,110,80,55,80,105,https://img.pokemondb.net/sprites/home/normal/scyther.png
124,Jynx,1,Normal,Human Shape Pokémon,,Ice,Psychic,1.4,40.6,455,65,50,35,115,95,95,https://img.pokemondb.net/sprites/home/normal/jynx.png
125,Electabuzz,1,Normal,Electric Pokémon,,Electric,,1.1,30.0,490,65,83,57,95,85,105,https://img.pokemondb.net/sprites/home/normal/electabuzz.png
126,Magmar,1,Normal,Spitfire Pokémon,,Fire,,1.3,44.5,495,65,95,57,100,85,93,https://img.pokemondb.net/sprites/home/normal/magmar.png
127,Pinsir,1,Normal,Stag Beetle Pokémon,,Bug,,1.5,55.0,500,65,125,100,55,70,85,https://img.pokemondb.net/sprites/home/normal/pinsir.png
127,Pinsir,1,Normal,Stag Beetle Pokémon,Mega Pinsir,Bug,Flying,1.7,59.0,600,65,155,120,65,90,105,https://img.pokemondb.net/sprites/home/normal/pinsir-mega.png
128,Tauros,1,Normal,Wild Bull Pokémon,,Normal,,1.4,88.4,490,75,100,95,40,70,110,https://img.pokemondb.net/sprites/home/normal/tauros.png
